ID,Company,Employment,Country
1,"Digital Intelligence Systems, LLC","C2H Corp-To-Corp, C2H Independent, C2H W2, 3 MONTHS TO HIRE",Singapore
2,University of Chicago/IT Services,Full Time,"Shanghai, China"
3,"Galaxy Systems, Inc.",Full Time,"New York, NY, United States"
4,TransTech LLC,Full Time,"Mountain View, CA, United States"
5,Matrix Resources,Full Time,"Sunnyvale, CA, United States"
6,Yash Technologies,"Full Time, Permanant","Dublin, Ireland"
7,Noble1,"Full Time, Direct Hire","Mountain View, CA, United States"
8,"Bluebeam Software, Inc.","Full Time, Full Time","Sunnyvale, CA, United States"
9,Genesis10,"Full Time, Direct Placement","Xinyi District, Taiwan"
10,"VanderHouwen & Associates, Inc.","C2H W2, Contract to hire","New York, NY, United States"
11,"Maxonic, Inc.",Full Time,"Mountain View, CA, United States"
12,CSI (Consultant Specialists Inc.),"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, 12 Months","Seattle, WA, United States"
13,"VanderHouwen & Associates, Inc.","Full Time, Full time","Dublin, Ireland"
14,Genesis10,"Full Time, Direct Placement","New York, NY, United States"
15,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Amsterdam, Netherlands"
16,Eastridge Workforce Solutions,"Full Time, contract-to-hire","South San Francisco, CA, United States"
17,Collabera,Contract W2,"Frankfurt, Germany"
18,"VanderHouwen & Associates, Inc.","Full Time, Full time","Dublin, Ireland"
19,Genesis10,"Full Time, Direct Placement","Xinyi District, Taiwan"
20,Fahrenheit IT Staffing & Consulting,"Full Time, Direct Hire","Sunnyvale, CA, United States"
21,Genesis10,Full Time,"Zürich, Switzerland"
22,Eastridge Workforce Solutions,"Full Time, Direct Hire","London, United Kingdom"
23,Avesta Computer Services,"Full Time, PERM","London, United Kingdom"
24,Genesis10,"Full Time, Right to Hire","Sunnyvale, CA, United States"
25,"VanderHouwen & Associates, Inc.","Full Time, Full time","Sunnyvale, CA, United States"
26,Amazon,"Full Time, Full time","München, Germany"
27,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Zürich, Switzerland"
28,"ReqRoute, Inc",Full Time,"Sunnyvale, CA, United States"
29,Turnberry Solutions,"C2H Independent, C2H W2, 12+ mos","Berlin, Germany"
30,"VanderHouwen & Associates, Inc.","Full Time, Full time",Singapore
31,Alpha Recruitment,"Full Time, Fulltime Permanent","New York, NY, United States"
32,Genesis10,Full Time,"Hamburg, Germany"
33,"Maxonic, Inc.",Full Time,"San Francisco, CA, United States"
34,CSI (Consultant Specialists Inc.),"Contract W2, 19 Months","Mountain View, CA, United States"
35,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Dublin, Ireland"
36,"VanderHouwen & Associates, Inc.","Full Time, Full time","Milan, Italy"
37,Genesis10,"Full Time, Contract","Shanghai, China"
38,Etouch Systems Corp,"Contract Independent, Contract W2, 12+ Months","Mountain View, CA, United States"
39,"VanderHouwen & Associates, Inc.","Contract W2, Contract","London, United Kingdom"
40,Centizen,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2","Warszawa, Poland"
41,CSI (Consultant Specialists Inc.),"Contract W2, C2H Corp-To-Corp, C2H Independent, market","Irvine, CA, United States"
42,Mygo Consulting,"Contract Corp-To-Corp, 6+ MONTHS","Sunnyvale, CA, United States"
43,Amazon,"Full Time, Fulltime","Sunnyvale, CA, United States"
44,Genesis10,"Full Time, Contract","Paris, France"
45,Alpha Consulting Corp.,"Contract Independent, Contract W2, 6+ mos","Dublin, Ireland"
46,Eastridge Workforce Solutions,,"Berlin, Germany"
47,Eastridge Workforce Solutions,,"München, Germany"
48,Ascent,"Contract Independent, Contract W2","Kirkland, WA, United States"
49,Alpha Recruitment,"Full Time, Fulltime Permanent","Cambridge, MA, United States"
50,Alpha Recruitment,"Full Time, Fulltime Permanent","Sunnyvale, CA, United States"
51,Eastridge Workforce Solutions,,"Dublin, Ireland"
52,Amerit Consulting,"Full Time, Contract W2, 6 months CTH","Seattle, WA, United States"
53,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Sydney, Australia"
54,Genesis10,Full Time,"Waterloo, ON, Canada"
55,Tellus Solutions,"Contract Corp-To-Corp, 12 Months","Sydney, Australia"
56,Genesis10,"Full Time, Direct Placement","München, Germany"
57,Genesis10,"Full Time, Right to Hire","Sunnyvale, CA, United States"
58,Amazon,"Full Time, Employee - Full Time","Berlin, Germany"
59,Stratitude Inc,"Contract Corp-To-Corp, 12+ months","Paris, France"
60,Fahrenheit IT Staffing & Consulting,,"Shanghai, China"
61,Xoriant Corporation,"Contract Independent, Contract W2, C2H Independent, C2H W2, 1+ Yrs","London, United Kingdom"
62,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Sunnyvale, CA, United States"
63,CSI (Consultant Specialists Inc.),"Contract W2, 12 Months","Amsterdam, Netherlands"
64,"iSpace, Inc","Full Time, Full Time","Gurugram, India"
65,"VanderHouwen & Associates, Inc.","Full Time, Full time","Xinyi District, Taiwan"
66,Tellus Solutions,"Contract W2, 6 Months","Xinyi District, Taiwan"
67,"Akraya, Inc.","Contract W2, 4+ mos","Dublin, Ireland"
68,"iSpace, Inc","Full Time, Fulltime",Dubai - United Arab Emirates
69,"VanderHouwen & Associates, Inc.",,"Milan, Italy"
70,CSI (Consultant Specialists Inc.),"Contract W2, C2H W2, 6 months +","Shanghai, China"
71,Genesis10,"Full Time, Contract","San Francisco, CA, United States"
72,Fahrenheit IT Staffing & Consulting,,"New York, NY, United States"
73,Eastridge Workforce Solutions,"Contract W2, Contract","Cambridge, MA, United States"
74,Amazon,"Full Time, Full time","New York, NY, United States"
75,Genesis10,"Full Time, Direct Placement","Sunnyvale, CA, United States"
76,Thinkfind Corporation,,"London, United Kingdom"
77,"VanderHouwen & Associates, Inc.","Contract W2, Contract","London, United Kingdom"
78,Genesis10,"Full Time, Direct Placement","Pittsburgh, PA, United States"
79,"VanderHouwen & Associates, Inc.","Full Time, Full time","Chicago, IL, United States"
80,Genesis10,"Full Time, Full Time/Contract","London, United Kingdom"
81,Alpha Consulting Corp.,"Contract Independent, Contract W2, 3+ mos","Xinyi District, Taiwan"
82,Genesis10,Full Time,"Mountain View, CA, United States"
83,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Sunnyvale, CA, United States"
84,Turnberry Solutions,"Contract Independent, Contract W2, 7+ mos","London, United Kingdom"
85,Precision Task Group,,"München, Germany"
86,Ascent,"Contract Independent, Contract W2","Zürich, Switzerland"
87,"Maxonic, Inc.","Contract Corp-To-Corp, Contract Independent, Contract W2","Frankfurt, Germany"
88,Fahrenheit IT Staffing & Consulting,,"Sunnyvale, CA, United States"
89,"VanderHouwen & Associates, Inc.","Contract W2, Contract","San Francisco, CA, United States"
90,"VanderHouwen & Associates, Inc.","Contract W2, Contract","Mountain View, CA, United States"
91,Amazon,"Full Time, Permanent","New York, NY, United States"
92,Genesis10,"Full Time, Contract","South San Francisco, CA, United States"
93,"Maxonic, Inc.","C2H Corp-To-Corp, C2H Independent, C2H W2","London, United Kingdom"
94,Genesis10,"Full Time, Direct Placement","Mountain View, CA, United States"
95,Fahrenheit IT Staffing & Consulting,,"Bucharest, Romania"
96,Tailwind Associates,,"Sunnyvale, CA, United States"
97,Princeton Information Ltd,"Full Time, FULL_TIME","Stockholm, Sweden"
98,SMCI,"Contract W2, 5","South San Francisco, CA, United States"
99,"TAD PGS, Inc","Contract W2, 12 Months","South San Francisco, CA, United States"
